id;comments
1;:clapping_hands::clapping_hands::clapping_hands:
1;:smiling_face_with_heart-eyes::red_heart:️
1;Chegando a hora do parto :raising_hands::raising_hands::raising_hands:
1;:sparkling_heart::two_hearts::beating_heart:🪷:growing_heart:
1;:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
1;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
1;Wowwww:clapping_hands::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
1;Super cute.  Where is the skirt from please ?
1;So cute :white_heart:
1;Lookin’ fabulous. Pregnancy is sooooo long :beaming_face_with_smiling_eyes:
2;Wow so beautiful :star-struck: Has there been a gender reveal that I missed?
2;brb crying at the cuteness
2;"Kamala Harris’s pick for VP of US believes that YOUR children belong to the government… not you. That’s just ONE of the atrocities he supports. 

We all already knew that Kamala Harris supports all the nastiest things anyone could support, and now, with his VP pick, we know that she agrees with the government being responsible for children, not their parents. 

Since you posted a smiling photo with her, it’s clear that you’re aware of at least some of the atrocities she supports. That said, do you believe that too?"
2;:teddy_bear::pig_nose::sparkles:️:butterfly::pinched_fingers_medium-dark_skin_tone:
2;So sweet! :red_heart:️:red_heart:️
2;Love that little teddy bear :smiling_face_with_heart-eyes:🩵
2;"”The person without the Spirit does not accept the things that come from the Spirit of God but considers them foolishness, and cannot understand them because they are discerned only through the Spirit.“
‭‭1 Corinthians‬ ‭2‬:‭14‬ ‭NIV‬‬ James-Durrett-3remember that people without the holy spirit are gonna have a hard time understanding the bible and it says that in scripture too. most of the times they read it not for an understanding but to pick out all they see wrong with it"
